Which odd won,Lowest 2 values
1.53,"1.53, 4.33"
3.1,"2.37, 3.1"
1.28,"1.28, 6"
3.4,"2.15, 3.4"
1.95,"1.95, 3.6"
4.33,"1.83, 3.6"
1.61,"1.61, 4.33"
2.37,"2.37, 3.1"
1.5,"1.5, 4.2"
1.61,"1.61, 3.9"
9.5,"1.3, 5.5"
1.53,"1.53, 4.5"
2.37,"2.37, 3"
2.87,"2.6, 2.87"
2.2,"2.2, 3.1"
1.61,"1.61, 4"
2.7,"2.7, 2.75"
1.5,"1.5, 4.33"
1.72,"1.72, 3.75"
2.1,"2.1, 3.25"
4.75,"1.36, 4.75"
2.3,"2.3, 3.2"
2.62,"2.62, 2.7"
4.5,"1.45, 4.5"
9.5,"1.28, 6"
3.6,"2.05, 3.5"
2.5,"2.5, 2.9"
1.45,"1.45, 4.75"
1.4,"1.4, 4.75"
1.72,"1.72, 3.75"
5.25,"1.36, 5.25"
2.4,"2.4, 3.1"
5.25,"1.61, 4.2"
1.72,"1.72, 3.8"
1.57,"1.57, 4"
1.5,"1.5, 4"
4,"1.85, 3.8"
10,"1.3, 5.5"
4.2,"1.83, 3.75"
4.75,"1.45, 4.75"
1.44,"1.44, 5"
1.66,"1.66, 4"
3.3,"2.1, 3.3"
3.3,"2.62, 2.7"
4.33,"1.57, 4.33"
4.1,"1.83, 3.8"
3.3,"2.45, 2.9"
2.87,"2.5, 2.87"
3.3,"2.05, 3.3"
5.25,"1.36, 5.25"
2.7,"2.7, 2.75"
3.6,"2.37, 2.8"
1.22,"1.22, 6.5"
2.75,"2.55, 2.75"
3.5,"1.75, 3.5"
3.8,"1.9, 3.75"
4,"1.7, 4"
1.6,"1.6, 4"
2,"2, 3.2"
1.28,"1.28, 6"
1.5,"1.5, 4.5"
1.36,"1.36, 5.25"
2.8,"2.45, 2.8"
3.7,"2.05, 3.4"
3.6,"2, 3.6"
1.61,"1.61, 4"
2.4,"2.4, 3"
2.62,"2.5, 2.62"
3.5,"1.85, 3.5"
2,"2, 3.6"
2.37,"2.37, 2.9"
2.87,"2.45, 2.87"
1.36,"1.36, 5"
1.83,"1.83, 3.75"
1.45,"1.45, 4.33"
2.3,"2.3, 3.2"
4.2,"1.95, 3.4"
5,"1.65, 4.1"
1.45,"1.45, 4.75"
3.2,"2.15, 3.2"
4,"1.8, 4"
1.3,"1.3, 5.5"
1.85,"1.85, 3.9"
2.4,"2.4, 3"
3.75,"2.2, 3"
1.85,"1.85, 3.8"
2.75,"2.75, 2.75"
3.25,"2.3, 3.25"
3.75,"2.05, 3.25"
4.2,"1.57, 4.2"
1.16,"1.16, 7.5"
3.6,"1.95, 3.6"
2.6,"2.6, 2.8"
1.95,"1.95, 3.5"
3.5,"2.05, 3.5"
3.75,"2.05, 3.4"
6.5,"1.5, 4.33"
2.25,"2.25, 3"
3.5,"1.9, 3.5"
1.1,"1.1, 11"
2,"2, 3.6"
1.5,"1.5, 4.5"
2.55,"2.55, 2.87"
1.95,"1.95, 3.5"
1.95,"1.95, 3.6"
1.5,"1.5, 4.33"
2.9,"2.45, 2.9"
3.1,"2.15, 3.1"
3.25,"2.25, 3.25"
2.45,"2.45, 3"
4.2,"1.72, 4.2"
4.33,"1.7, 4.2"
1.7,"1.7, 3.75"
3.9,"1.72, 3.9"
5.5,"1.3, 5.5"
6.25,"1.53, 4.2"
2,"2, 3.5"
5.25,"1.66, 3.8"
11,"1.09, 11"
3.5,"2.25, 3.1"
1.75,"1.75, 4"
3.25,"2.15, 3.25"
3.3,"2.5, 2.87"
1.75,"1.75, 3.8"
3.4,"2.05, 3.4"
3.8,"1.75, 3.8"
1.44,"1.44, 4.6"
1.5,"1.5, 4.33"
1.44,"1.44, 4.5"
2.45,"2.45, 2.8"
3.25,"2.5, 2.9"
3.75,"1.65, 3.75"
3.6,"2.05, 3.5"
1.66,"1.66, 4.33"
1.95,"1.95, 3.6"
3.5,"2.2, 3.25"
1.44,"1.44, 5"
3.6,"2.3, 2.9"
1.9,"1.9, 3.75"
3.3,"2.3, 3.2"
4,"1.9, 3.6"
1.11,"1.11, 10"
1.85,"1.85, 3.6"
1.72,"1.72, 4"
3.4,"2.3, 3.1"
10,"1.11, 10"
3.25,"2.15, 3.25"
3.5,"2, 3.5"
4.2,"1.61, 4.2"
2.2,"2.2, 3.25"
2.37,"2.37, 3.1"
3.6,"2.1, 3.4"
2,"2, 3.6"
1.53,"1.53, 4.2"
6,"1.25, 6"
3.5,"2.1, 3.5"
1.72,"1.72, 4.2"
1.75,"1.75, 4.1"
1.95,"1.95, 3.5"
3.25,"2.62, 2.75"
1.57,"1.57, 4"
1.61,"1.61, 4.2"
2.2,"2.2, 3"
5,"1.61, 4.33"
2.45,"2.45, 3.1"
1.45,"1.45, 4.5"
3.1,"2.45, 3.1"
1.14,"1.14, 8.5"
5,"1.36, 5"
4,"1.53, 4"
7,"1.6, 3.5"
3.4,"2.1, 3.4"
1.8,"1.8, 3.5"
1.5,"1.5, 4.33"
1.8,"1.8, 3.75"
1.6,"1.6, 3.75"
3.8,"1.95, 3.6"
1.14,"1.14, 8.5"
1.4,"1.4, 4.5"
1.57,"1.57, 4.2"
2.87,"2.45, 2.87"
1.22,"1.22, 6.5"
1.53,"1.53, 4.33"
15,"1.18, 7.5"
1.45,"1.45, 4.75"
2.37,"2.37, 3.1"
1.85,"1.85, 3.8"
2.05,"2.05, 3.5"
1.18,"1.18, 7.5"
3.8,"1.95, 3.5"
