"Which,odd,won","Lowest,2,values"
2.2,"2.2,2.87"
1.9,"1.9,2.9"
3.75,"1.4,3.75"
1.16,"1.16,5.5"
1.25,"1.25,5"
1.9,"1.9,3.1"
2.87,"2.4,2.87"
2,"2,3"
2.2,"2.2,3"
1.57,"1.57,3.25"
1.2,"1.2,5"
3.5,"2,3"
3,"2.25,3"
2.2,"2.2,2.87"
1.5,"1.5,3.75"
3.2,"1.72,3.2"
2.87,"2.5,2.75"
4.33,"1.83,3"
1.53,"1.53,3.5"
2.75,"2.5,2.75"
1.22,"1.22,5.5"
1.8,"1.8,3.1"
2.9,"2.1,2.9"
2.2,"2.2,3"
1.16,"1.16,6.5"
1.61,"1.61,3.4"
3,"2.2,3"
3.25,"2.37,2.87"
4.5,"1.83,3.2"
2.6,"2.6,2.6"
2.9,"2.3,2.9"
1.72,"1.72,3.1"
2.3,"2.3,2.9"
2.1,"2.1,3"
2.87,"2.2,2.87"
1.4,"1.4,4"
1.44,"1.44,3.8"
1.57,"1.57,3.6"
2,"2,3"
2,"2,3"
1.61,"1.61,3.4"
3.5,"2.2,3"
3.2,"2,3.2"
2,"2,3.2"
1.61,"1.61,3.4"
2.6,"2.6,2.9"
1.72,"1.72,3.1"
6,"1.66,3.2"
2.2,"2.2,3"
1.36,"1.36,4.33"
3.5,"1.53,3.5"
1.9,"1.9,3.1"
2.5,"2.5,2.87"
1.66,"1.66,3.4"
2.2,"2.2,2.87"
2.1,"2.1,3"
2.75,"2.75,2.75"
1.2,"1.2,5.5"
3.5,"1.53,3.5"
7,"1.53,3.5"
1.16,"1.16,5.5"
2.6,"2.6,2.75"
3.2,"2.2,2.87"
1.53,"1.53,3.5"
3.2,"2.25,2.8"
1.25,"1.25,5"
2.5,"2.5,2.75"
3.2,"1.72,3.2"
3.2,"1.66,3.2"
2.1,"2.1,2.8"
1.5,"1.5,3.6"
3,"1.9,3"
1.8,"1.8,3.1"
1.5,"1.5,3.75"
1.9,"1.9,3.1"
1.4,"1.4,4"
2.87,"2.4,2.87"
3.4,"1.66,3.4"
3.4,"2.37,2.75"
2.1,"2.1,3"
3,"2.2,3"
2.75,"2.37,2.75"
1.57,"1.57,3.5"
6,"1.61,3.4"
1.4,"1.4,4"
3,"2,3"
1.57,"1.57,3.5"
3,"2,3"
5,"1.72,3.3"
2.4,"2.4,3"
2.37,"2.37,2.75"
3,"2.25,3"
3,"1.83,3"
1.36,"1.36,4"
3.5,"2,3"
1.72,"1.72,3.25"
2.6,"2.6,2.6"
1.44,"1.44,3.75"
2.8,"2.4,2.8"
3,"2,3"
2,"2,2.75"
3.1,"2.1,3.1"
2,"2,3"
3,"1.9,3"
1.25,"1.25,4.5"
2.2,"2.2,3.2"
1.36,"1.36,4.33"
3.5,"2.2,3"
1.8,"1.8,3.25"
3.2,"2.25,2.8"
2.37,"2.37,2.75"
1.57,"1.57,3.4"
3.2,"1.61,3.2"
2.8,"2.4,2.8"
1.28,"1.28,4.33"
2.37,"2.37,2.87"
1.83,"1.83,3"
1.9,"1.9,2.9"
1.9,"1.9,2.9"
2.8,"2.1,2.8"
2.87,"2.25,2.87"
1.2,"1.2,6"
3,"2.5,2.87"
3.1,"2.37,3"
3.4,"2.3,2.87"
1.14,"1.14,6.5"
1.72,"1.72,3.3"
2.75,"2.62,2.75"
3.1,"2.37,3"
3.1,"2,3.1"
5,"1.72,3"
1.2,"1.2,4.5"
2.3,"2.3,2.87"
1.8,"1.8,3"
3,"2.1,3"
3.25,"1.61,3.25"
1.9,"1.9,3"
1.66,"1.66,3.2"
2.75,"2.4,2.75"
4.33,"1.8,3"
1.28,"1.28,5"
2.1,"2.1,3"
3,"2.3,3"
2.75,"2.75,2.75"
1.16,"1.16,6"
2.1,"2.1,3"
2.6,"2.6,2.87"
3.1,"2.3,3.1"
4.33,"1.9,3.1"
5.5,"1.66,3.4"
3.2,"1.66,3.2"
2.5,"2.5,2.9"
1.83,"1.83,3"
2.3,"2.3,3"
3.1,"2,3.1"
1.2,"1.2,5.8"
4.33,"1.95,3"
1.61,"1.61,3.4"
3,"2.3,3"
3.1,"2,3.1"
2.1,"2.1,2.8"
1.72,"1.72,3.1"
1.14,"1.14,6"
1.16,"1.16,6"
3.1,"2.6,2.7"
1.9,"1.9,3.1"
3,"2,3"
2,"2,3"
1.9,"1.9,3.1"
2.4,"2.4,3"
1.66,"1.66,3.4"
3.2,"2,3.2"
2.62,"2.62,2.75"
1.72,"1.72,3.2"
4,"2.05,3"
1.57,"1.57,3.5"
1.18,"1.18,6"
4,"2,3.1"
3.5,"1.53,3.5"
1.9,"1.9,3.2"
2.7,"2.6,2.7"
3,"2.6,2.8"
2.1,"2.1,3"
1.8,"1.8,3.2"
1.2,"1.2,5.5"
1.16,"1.16,6"
3.3,"1.72,3.3"
3,"2.4,3"
4,"2,3"
3.4,"1.61,3.4"
2.1,"2.1,2.8"
3.2,"1.66,3.2"
2.9,"2.4,2.8"
2.87,"2.6,2.6"
2.87,"2.5,2.75"
1.16,"1.16,5.5"
1.72,"1.72,3.2"
1.44,"1.44,3.6"
2.37,"2.37,2.87"
1.4,"1.4,3.2"
1.36,"1.36,4.33"
3.4,"1.61,3.4"
1.83,"1.83,3.1"
1.44,"1.44,4"
1.14,"1.14,6.5"
3.4,"1.57,3.4"
2.5,"2.5,2.87"
2.75,"2.75,2.75"
1.57,"1.57,3.4"
2.75,"2.75,2.75"
3.75,"1.36,3.75"
5,"1.66,3.2"
1.44,"1.44,3.6"
1.72,"1.72,3"
3.25,"2.1,3"
1.4,"1.4,3.75"
2,"2,3"
1.61,"1.61,3.4"
2.6,"2.6,2.6"
3,"2.3,2.87"
2.1,"2.1,3.1"
3,"1.9,3"
1.8,"1.8,3.2"
1.3,"1.3,4.5"
1.33,"1.33,4.33"
1.25,"1.25,5"
3.1,"2.1,3.1"
3,"1.83,3"
2.87,"2.5,2.87"
4,"1.44,4"
